flow_key,name,categories,unit,cleaned_name,molecular_formula,molecular_weight,CF1,composition,grade_fraction,grade_source
"('ecoinvent-3.12-biosphere', '5be5c933-bceb-5132-ae17-e43eeb61b8fb')",Chlorpyrifos methyl,"('water',)",kilogram,Chlorpyrifos methyl,C7H7Cl3NO3PS,322.5,1.6301799886760147e-15,"{'C': 0.26070387596899225, 'H': 0.02187906976744186, 'Cl': 0.32979534883720935, 'N': 0.04343255813953488, 'O': 0.1488279069767442, 'P': 0.09604341085271317, 'S': 0.09942635658914728}",1.0,dissipation
"('ecoinvent-3.12-biosphere', '26eefa78-98bc-5dd9-b0f1-811f1675cc9e')",Propaphos,"('soil', 'agricultural')",kilogram,Propaphos,C13H21O4PS,304.34,1.7274530010777906e-15,"{'C': 0.513054478543734, 'H': 0.06955378852599067, 'O': 0.210277978576592, 'P': 0.10177433133994875, 'S': 0.10535913780640074}",1.0,dissipation
"('ecoinvent-3.12-biosphere', '6a419f9e-7c27-531c-8237-0584b48a15e1')",Ethion,"('air', 'non-urban air or from high stacks')",kilogram,Ethion,C9H22O4P2S4,384.5,2.7346322306788807e-15,"{'C': 0.2811417425227568, 'H': 0.05767490247074123, 'O': 0.16643953185955787, 'P': 0.16111313394018206, 'S': 0.33357607282184654}",1.0,dissipation
"('ecoinvent-3.12-biosphere', '78c79947-7f63-5d6b-96cd-d19165969f46')",Dioxathion,"('water', 'surface water')",kilogram,Dioxathion,C12H26O6P2S4,456.5,2.3033211231019264e-15,"{'C': 0.31573274917853233, 'H': 0.05741073384446878, 'O': 0.21028258488499452, 'P': 0.13570208105147863, 'S': 0.2809638554216867}",1.0,dissipation
"('ecoinvent-3.12-biosphere', '4257b9b2-cea1-5513-b20b-43dd9da39efe')",Dialifor,"('water', 'surface water')",kilogram,Dialifor,C14H17ClNO4PS2,393.8,1.3350255112951112e-15,"{'C': 0.42700355510411375, 'H': 0.043514474352463174, 'Cl': 0.09002793296089386, 'N': 0.03556881665820213, 'O': 0.1625088877602844, 'P': 0.07865413915693245, 'S': 0.16284916201117317}",1.0,dissipation
"('ecoinvent-3.12-biosphere', '11062f43-0628-59de-b271-16f7b85b8bd2')",Phosphamidon,"('soil', 'forestry')",kilogram,Phosphamidon,C10H19ClNO5P,299.69,1.7542562192532776e-15,"{'C': 0.40078080683372813, 'H': 0.06390603623744537, 'Cl': 0.11829890887250159, 'N': 0.046738296239447426, 'O': 0.26692582335079584, 'P': 0.10335346524742234}",1.0,dissipation
"('ecoinvent-3.12-biosphere', '477624e9-c137-5682-8342-7d7b6f669514')",Temephos,"('soil', 'forestry')",kilogram,Temephos,C16H20O6P2S3,466.5,2.2539466081372553e-15,"{'C': 0.41195284030010715, 'H': 0.04321543408360129, 'O': 0.2057749196141479, 'P': 0.13279314040728832, 'S': 0.20620578778135046}",1.0,dissipation
"('ecoinvent-3.12-biosphere', 'd5c520e5-9191-5cce-ab6a-a47f059ccc2c')",Phosmet,"('air',)",kilogram,Phosmet,C11H12NO4PS2,317.3,1.656895828389583e-15,"{'C': 0.41639142767097376, 'H': 0.038121651433974155, 'N': 0.04414434289316104, 'O': 0.20168925307280178, 'P': 0.0976173967853766, 'S': 0.2021115663410022}",1.0,dissipation
"('ecoinvent-3.12-biosphere', '40229ebf-9346-4f20-910a-f8ea3bd88d44')",Copper ion,"('water', 'ground-, long-term')",kilogram,Copper,Cu,63.55,1.231243333335009e-14,{'Cu': 1.0},1.0,dissipation
"('ecoinvent-3.12-biosphere', '7996770a-2fa0-575b-944a-0b8718b2d5d6')",Metapa,"('air',)",kilogram,Metapa,C9H18N3OP,215.23,2.442656908182014e-15,"{'C': 0.5022487571435209, 'H': 0.08430051572736143, 'N': 0.19523765274357666, 'O': 0.07433443293221206, 'P': 0.14391116480044605}",1.0,dissipation
