Flow_Name,Flow_Key,Metal,Delta_g_Total,Delta_g_Metal,Metal_Fraction,CF_Metal,CF_Total,grade_source
"Ni, Ni 3.7E-2%, Pt 4.8E-4%, Pd 2.0E-4%, Rh 2.4E-5%, Cu 5.2E-2% in ore, in ground","('ecoinvent-3.4-biosphere', 'febbfa6e-44d4-42a0-abcd-aec8a428f75e')",Cu,7.931406892999835e-13,1.2711216063017624e-13,0.00052,6.402465333342046e-18,3.9949409580727685e-17,parsed_crude_ore_multi
"Tin, 79% in cassiterite, 0.1% in crude ore, in ground","('ecoinvent-3.4-biosphere', '31b4eea9-640e-4056-ac2f-0555627af18a')",Sn,6.760739948663041e-13,6.760739948663041e-13,0.001,1.3268575464212294e-16,1.3268575464212294e-16,parsed_crude_ore
"Cu, Cu 5.2E-2%, Pt 4.8E-4%, Pd 2.0E-4%, Rh 2.4E-5%, Ni 3.7E-2% in ore, in ground","('ecoinvent-3.4-biosphere', '8508a83c-6a37-4159-93cc-21a2645390ab')",Cu,5.561657528729531e-13,8.913353137711879e-14,0.00052,6.402465333342046e-18,3.9949409580727685e-17,parsed_crude_ore_multi
"Cu, Cu 5.2E-2%, Pt 4.8E-4%, Pd 2.0E-4%, Rh 2.4E-5%, Ni 3.7E-2% in ore, in ground","('ecoinvent-3.4-biosphere', '8508a83c-6a37-4159-93cc-21a2645390ab')",Ni,5.561657528729531e-13,4.670322214958343e-13,0.00037,3.354694424738564e-17,3.9949409580727685e-17,parsed_crude_ore_multi
"Molybdenum, 0.014% in sulfide, Mo 8.2E-3% and Cu 0.81% in crude ore, in ground","('ecoinvent-3.4-biosphere', '5514ccd2-469f-4074-9905-529154e7f742')",Mo,2.3343152699136934e-13,2.7933147912174577e-14,8.2e-05,1.3556275656784592e-17,1.1328698565692033e-16,parsed_crude_ore_multi
"Molybdenum, 0.014% in sulfide, Mo 8.2E-3% and Cu 0.81% in crude ore, in ground","('ecoinvent-3.4-biosphere', '5514ccd2-469f-4074-9905-529154e7f742')",Cu,2.3343152699136934e-13,2.0549837907919475e-13,0.008100000000000001,9.973071000013574e-17,1.1328698565692033e-16,parsed_crude_ore_multi
"Lead, Pb 3.6E-1%, in mixed ore, in ground","('ecoinvent-3.4-biosphere', '4df0eac4-44bb-46b6-b588-e3513a1ead2f')",Pb,1.4044677908992987e-13,1.4044677908992987e-13,0.0036,4.267891694899601e-16,4.267891694899601e-16,parsed_crude_ore_multi
"Spodumene, in ground","('ecoinvent-3.4-biosphere', '5324b57a-96f1-4dc3-9dc5-544881960f4f')",Al,1.2179939784549841e-13,7.573595838426656e-14,0.1449865663621709,9.311815400273886e-15,1.4975363523456938e-14,stoichiometric
"Spodumene, in ground","('ecoinvent-3.4-biosphere', '5324b57a-96f1-4dc3-9dc5-544881960f4f')",Li,1.2179939784549841e-13,4.606343946123186e-14,0.037297152068780225,5.663548123183053e-15,1.4975363523456938e-14,stoichiometric
"Olivine, in ground","('ecoinvent-3.4-biosphere', 'd7cadc9a-f42c-4711-a8e2-0b626c0a4c7a')",Fe,6.058499205763332e-14,6.058499205763332e-14,0.1457047811623508,6.24003208447979e-16,6.24003208447979e-16,stoichiometric
"Feldspar, in ground","('ecoinvent-3.4-biosphere', '26296ec9-ff93-41e6-bbbf-6175af04284d')",Al,5.753856393631924e-14,5.753856393631924e-14,0.09694247835303417,6.226166227108002e-15,6.226166227108002e-15,stoichiometric
"Copper, Cu 6.8E-1%, in mixed ore, in ground","('ecoinvent-3.4-biosphere', '4f684798-3870-45a1-b5f2-aa3444c0b8d6')",Cu,4.133006524751598e-14,4.133006524751598e-14,0.0068000000000000005,8.372454666678061e-17,8.372454666678061e-17,parsed_crude_ore_multi
"Pd, Pd 7.3E-4%, Pt 2.5E-4%, Rh 2.0E-5%, Ni 2.3E+0%, Cu 3.2E+0% in ore, in ground","('ecoinvent-3.4-biosphere', '535bbc83-033b-42fe-9a68-8dc9eb420385')",Ni,3.937752966094607e-14,3.311997330591434e-14,0.023,2.0853505883509992e-15,2.479348455018202e-15,parsed_crude_ore_multi
"Pd, Pd 7.3E-4%, Pt 2.5E-4%, Rh 2.0E-5%, Ni 2.3E+0%, Cu 3.2E+0% in ore, in ground","('ecoinvent-3.4-biosphere', '535bbc83-033b-42fe-9a68-8dc9eb420385')",Cu,3.937752966094607e-14,6.257556355031732e-15,0.032,3.939978666672029e-16,2.479348455018202e-15,parsed_crude_ore_multi
"Cobalt, Co 5.0E-2%, in mixed ore, in ground","('ecoinvent-3.4-biosphere', '02e8658e-3c88-404c-865d-4d4934661ea6')",Co,3.529832452057521e-14,3.529832452057521e-14,0.0005,9.723747574226973e-16,9.723747574226973e-16,parsed_crude_ore_multi
"Pt, Pt 2.5E-4%, Pd 7.3E-4%, Rh 2.0E-5%, Ni 2.3E+0%, Cu 3.2E+0% in ore, in ground","('ecoinvent-3.4-biosphere', '3250f566-58bc-46d3-ab88-1d2e23ca3e1b')",Ni,1.3498092685059653e-14,1.135308571307651e-14,0.023,2.0853505883509992e-15,2.479348455018202e-15,parsed_crude_ore_multi
