Flow Key,Flow Name,Cleaned Name,Molecular Formula,Molecular Weight,CF1,composition,grade_source
"('ecoinvent-3.4-biosphere', '535bbc83-033b-42fe-9a68-8dc9eb420385')","Pd, Pd 7.3E-4%, Pt 2.5E-4%, Rh 2.0E-5%, Ni 2.3E+0%, Cu 3.2E+0% in ore, in ground",multi_element_ore,multi,,2.479348455018202e-15,"{'Pd': 7.2999999999999996e-06, 'Pt': 2.5e-06, 'Rh': 2.0000000000000002e-07, 'Ni': 0.023, 'Cu': 0.032}",parsed_crude_ore_multi
"('ecoinvent-3.4-biosphere', 'f77aacc3-2c22-4bda-99ab-fe1110a1b891')","Iron, 46% in ore, 25% in crude ore, in ground",Iron,Fe,55.84,2.4113064559169056e-15,{'Fe': 0.25},parsed_crude_ore
"('ecoinvent-3.4-biosphere', 'ac8571b8-b00b-479d-93cf-b9374feaee05')","Molybdenum, 0.016% in sulfide, Mo 8.2E-3% and Cu 0.27% in crude ore, in ground",multi_element_ore,multi,,4.6799845656829836e-17,"{'Mo': 8.2e-05, 'Cu': 0.0027}",parsed_crude_ore_multi
"('ecoinvent-3.4-biosphere', 'f7360584-688a-4b6f-bc4a-db00a1e7b022')","Rh, Rh 2.4E-5%, Pt 4.8E-4%, Pd 2.0E-4%, Ni 3.7E-2%, Cu 5.2E-2% in ore, in ground",multi_element_ore,multi,,3.9949409580727685e-17,"{'Rh': 2.4000000000000003e-07, 'Pt': 4.8e-06, 'Pd': 2e-06, 'Ni': 0.00037, 'Cu': 0.00052}",parsed_crude_ore_multi
"('ecoinvent-3.4-biosphere', 'a76cf135-2be1-4e53-9423-9211acd100f1')","Molybdenum, 0.022% in sulfide, Mo 8.2E-3% and Cu 0.22% in crude ore, in ground",multi_element_ore,multi,,4.064362899015479e-17,"{'Mo': 8.2e-05, 'Cu': 0.0022}",parsed_crude_ore_multi
"('ecoinvent-3.4-biosphere', 'f8f1ba14-9934-4678-8a78-e2cf1fce7775')","Zinc, Zn 0.63%, in mixed ore, in ground",multi_element_ore,multi,,6.827043349798209e-16,{'Zn': 0.0063},parsed_crude_ore_multi
"('ecoinvent-3.4-biosphere', 'c8f18160-6937-4bb9-ad0c-dffa942ca41e')","Copper, 1.42% in sulfide, Cu 0.81% and Mo 8.2E-3% in crude ore, in ground",multi_element_ore,multi,,1.1328698565692033e-16,"{'Cu': 0.008100000000000001, 'Mo': 8.2e-05}",parsed_crude_ore_multi
"('ecoinvent-3.4-biosphere', 'eaa3e9d4-68d6-4267-a7a5-48b141c3861e')","Silver, Ag 5.4E-3%, in mixed ore, in ground",multi_element_ore,multi,,8.479058756602773e-18,{'Ag': 5.4000000000000005e-05},parsed_crude_ore_multi
"('ecoinvent-3.4-biosphere', 'f09c3144-a268-4bed-8ca2-63005b6ef75f')","Nickel, Ni 2.5E+0%, in mixed ore, in ground",multi_element_ore,multi,,2.2666854221206516e-15,{'Ni': 0.025},parsed_crude_ore_multi
"('ecoinvent-3.4-biosphere', '1b35070a-eb57-4f0f-a27f-5ba181ff0d4d')","Copper, 0.59% in sulfide, Cu 0.22% and Mo 8.2E-3% in crude ore, in ground",multi_element_ore,multi,,4.064362899015479e-17,"{'Cu': 0.0022, 'Mo': 8.2e-05}",parsed_crude_ore_multi
