flow,amount,categories,unit
Phosphorus,30593.381834372212,"('soil', 'agricultural')",kilogram
Molybdenum,30227.596832672152,"('soil', 'agricultural')",kilogram
Acetaldehyde,28896.889208279154,"('air',)",kilogram
Benzene,28714.858047727408,"('water',)",kilogram
"Copper, ion",27815.998248205513,"('water', 'ocean')",kilogram
Mercury,27767.706455047337,"('soil', 'agricultural')",kilogram
Beryllium,27557.401844366905,"('air', 'low population density, long-term')",kilogram
Propene,25791.491996528053,"('water', 'surface water')",kilogram
Cyanide,25477.432879780525,"('water', 'surface water')",kilogram
Arsenic,24118.914986840962,"('soil', 'agricultural')",kilogram
"Iron, ion",23842.65475593772,"('water', 'ocean')",kilogram
Lead,23635.254142604168,"('water',)",kilogram
"Methane, from soil or biomass stock",23268.976017391095,"('air', 'non-urban air or from high stacks')",kilogram
Lead,23088.18802424007,"('water', 'ocean')",kilogram
Arsenic,22338.647726041418,"('soil', 'industrial')",kilogram
Barium,22129.267960021672,"('air', 'urban air close to ground')",kilogram
Lead,21689.5168368633,"('soil', 'agricultural')",kilogram
Toluene,19605.196969447523,"('water',)",kilogram
"Vanadium, ion",19513.50606784163,"('water',)",kilogram
"Arsenic, ion",19260.306022587836,"('water', 'ocean')",kilogram
Chromium VI,19136.401890030804,"('water', 'ground-')",kilogram
Methyl ethyl ketone,18691.988512701093,"('air', 'urban air close to ground')",kilogram
"Benzene, ethyl-",18502.608513370946,"('air',)",kilogram
"Methane, chlorodifluoro-, HCFC-22",18502.27620073078,"('air', 'non-urban air or from high stacks')",kilogram
Ethene,17105.14082954039,"('air', 'non-urban air or from high stacks')",kilogram
Cyanide,16908.47752920927,"('air', 'non-urban air or from high stacks')",kilogram
Cumene,16450.75173956676,"('water', 'surface water')",kilogram
Benzo(a)pyrene,15992.170930483648,"('air', 'non-urban air or from high stacks')",kilogram
Manganese,15878.749798698052,"('water',)",kilogram
Molybdenum,15877.330352452664,"('water', 'ocean')",kilogram
Ethanol,15436.382687133393,"('air', 'non-urban air or from high stacks')",kilogram
Ethyl acetate,15297.160770041992,"('air', 'urban air close to ground')",kilogram
"AOX, Adsorbable Organic Halogen as Cl",15125.144670161617,"('water', 'surface water')",kilogram
Titanium,15021.043766662,"('air', 'urban air close to ground')",kilogram
Acetic acid,14439.17256968888,"('air',)",kilogram
Furan,14341.373623443165,"('air', 'non-urban air or from high stacks')",kilogram
"Methane, tetrafluoro-, R-14",14241.407419469055,"('air',)",kilogram
Molybdenum,14136.293693626292,"('water',)",kilogram
Silicon,13961.655527167044,"('soil', 'industrial')",kilogram
Strontium,13169.72418766776,"('air', 'low population density, long-term')",kilogram
"PAH, polycyclic aromatic hydrocarbons",13132.931500970852,"('air',)",kilogram
"Aldehydes, unspecified",12920.072034947249,"('air', 'non-urban air or from high stacks')",kilogram
"DOC, Dissolved Organic Carbon",12546.245710562745,"('water', 'ground-')",kilogram
Ethene,12199.885670375883,"('water', 'surface water')",kilogram
"PAH, polycyclic aromatic hydrocarbons",11919.425611892568,"('water', 'surface water')",kilogram
Methanol,11893.978753709538,"('air', 'non-urban air or from high stacks')",kilogram
Manganese,11802.004005422434,"('water', 'ocean')",kilogram
Acetaldehyde,11125.825264128345,"('air', 'non-urban air or from high stacks')",kilogram
"Tin, ion",11061.315388782481,"('water', 'ground-')",kilogram
"Titanium, ion",10591.61861099099,"('water',)",kilogram
Uranium,9823.976573537446,"('air', 'urban air close to ground')",kilogram
Sodium,9319.649353047185,"('air', 'non-urban air or from high stacks')",kilogram
Iron,9295.081925601235,"('water', 'ground-')",kilogram
"Chromium, ion",9091.658781266386,"('water', 'surface water')",kilogram
Cadmium,9011.607204817828,"('soil', 'industrial')",kilogram
Chromium,8720.194573400811,"('soil', 'agricultural')",kilogram
Beryllium,8655.392135738399,"('water', 'surface water')",kilogram
Mercury,8602.65503134071,"('soil', 'industrial')",kilogram
Manganese,8481.548049161636,"('air',)",kilogram
Cadmium,8409.07210274876,"('soil',)",kilogram
Iron,8364.059826434193,"('air', 'non-urban air or from high stacks')",kilogram
"PAH, polycyclic aromatic hydrocarbons",8132.101508362505,"('air', 'urban air close to ground')",kilogram
Sodium,8032.175676525794,"('air',)",kilogram
Cumene,7980.800532638081,"('water',)",kilogram
Triethylene glycol,7597.963551023295,"('water', 'ocean')",kilogram
Benzaldehyde,7320.8972994166415,"('air', 'non-urban air or from high stacks')",kilogram
Thallium,7253.472425006978,"('air', 'non-urban air or from high stacks')",kilogram
