0,1,2,3
"('ecoinvent-3.12-biosphere', '75bbb685-94d2-5e12-af35-c92baff5d162')",Bromophos,"('soil',)",kilogram
"('ecoinvent-3.12-biosphere', '79e7bd59-1dbb-5a3a-883e-31910512c00e')",Biphenyl,"('water', 'surface water')",kilogram
"('ecoinvent-3.12-biosphere', 'b88999ec-84fd-462d-9dec-7e20a4636a58')",Zinc II,"('soil', 'industrial')",kilogram
"('ecoinvent-3.12-biosphere', '7705f0e1-5b14-44f4-b330-1245b5c7fc08')",Chromium III,"('air', 'urban air close to ground')",kilogram
"('ecoinvent-3.12-biosphere', '5f4baaf6-055e-491e-9852-258897ab5194')","Hydrocarbons, aliphatic, alkanes, cyclic","('air', 'non-urban air or from high stacks')",kilogram
"('ecoinvent-3.12-biosphere', '3e757249-9471-4e91-94e1-27346cbc7b82')",Monochlorobenzene,"('water', 'ground-, long-term')",kilogram
"('ecoinvent-3.12-biosphere', '1174a79c-862e-544c-afdb-d58bd874ab71')",Ioxynil methyl ester,"('water',)",kilogram
"('ecoinvent-3.12-biosphere', '412022a7-3c01-4e3c-92c8-d710927ed17a')",Anthranilic acid,"('air', 'low population density, long-term')",kilogram
"('ecoinvent-3.12-biosphere', 'aac39edf-68c5-4f38-9aa9-17e3ca265109')",Potassium I,"('air', 'urban air close to ground')",kilogram
"('ecoinvent-3.12-biosphere', '50f5f550-3d5f-5d93-a7d3-3ff177dac4d0')",Benzovindiflupyr,"('soil',)",kilogram
"('ecoinvent-3.12-biosphere', '55a0d651-ab0c-5bf1-a6d4-d9ab1276ad20')",Cyromazine,"('water', 'surface water')",kilogram
"('ecoinvent-3.12-biosphere', '6a7e514e-adf0-5cd9-a782-e3a881a8dc06')",Fenoxaprop-P,"('soil',)",kilogram
"('ecoinvent-3.12-biosphere', '4ebfcca9-5504-5ec2-bd73-466e481f6550')",Chromafenozide,"('air', 'non-urban air or from high stacks')",kilogram
"('ecoinvent-3.12-biosphere', '0f4b36c2-279c-5d04-97b3-f09aea767f5a')",Fluazifop-P,"('soil',)",kilogram
"('ecoinvent-3.12-biosphere', '1c4658f4-edd4-5743-bacd-02ec072f83eb')",Norea,"('soil',)",kilogram
"('ecoinvent-3.12-biosphere', '32a11a3f-a794-553e-b1e9-0df13b862f76')",Trans-permethrin,"('air', 'non-urban air or from high stacks')",kilogram
"('ecoinvent-3.12-biosphere', '281d09b7-ba91-53a6-8cfb-e0d860cfb2f1')",Empenthrin,"('air',)",kilogram
"('ecoinvent-3.12-biosphere', '8e7926d4-9033-417f-9b94-2441aadb41dd')",Fentin acetate,"('soil', 'agricultural')",kilogram
"('ecoinvent-3.12-biosphere', '2e718246-b4f2-44e3-bcc5-2ce3496d2db6')",Prohexadione calcium,"('soil', 'agricultural')",kilogram
"('ecoinvent-3.12-biosphere', '5189de76-6bbb-44ba-8c42-5714f1b4371f')",Nitrate,"('water',)",kilogram
"('ecoinvent-3.12-biosphere', '3ea439c3-64aa-4c90-a265-188350e7a4a6')","Oils, unspecified","('water', 'ground-, long-term')",kilogram
"('ecoinvent-3.12-biosphere', 'f977a02e-3564-4798-843c-9fb9a18bc18b')",Water,"('air', 'low population density, long-term')",cubic meter
"('ecoinvent-3.12-biosphere', '130cedc6-f6ed-4f1b-bd1e-881177f79e74')",Ammonium,"('water', 'ground-, long-term')",kilogram
"('ecoinvent-3.12-biosphere', 'c993097e-12ba-5dff-bc8c-97440d7c4b15')",Flucarbazone sodium salt,"('water',)",kilogram
"('ecoinvent-3.12-biosphere', '05c7442d-72c8-5152-a2ca-4ad0399dd15a')",Iprobenfos,"('soil', 'forestry')",kilogram
"('ecoinvent-3.12-biosphere', '48712cc5-795a-57df-991a-856118fe6a03')",Metsulfuron,"('air', 'non-urban air or from high stacks')",kilogram
"('ecoinvent-3.12-biosphere', '9bc66656-9f37-44bc-ae0b-5d5243b8137e')",Tetrachloroethylene,"('air',)",kilogram
"('ecoinvent-3.12-biosphere', '3cee5838-69ba-44f9-bc30-84f82bff2dd9')",Acetonitrile,"('water', 'ground-, long-term')",kilogram
"('ecoinvent-3.12-biosphere', 'e9c7c0bf-3f31-50d7-8dad-b660918a7011')",Topramezone,"('water', 'surface water')",kilogram
"('ecoinvent-3.12-biosphere', '56e7c4ee-29a0-4d90-a44d-ee7e7faade83')",4-Methyl-2-pentanol,"('water',)",kilogram
"('ecoinvent-3.12-biosphere', '5cd561f1-559f-5492-91d6-0276d65b5afb')",Mecoprop,"('water',)",kilogram
"('ecoinvent-3.12-biosphere', 'b4ceb3f3-6079-57f0-8896-0094de4de92a')",Copper(II) carbonate--copper(II) hydroxide (1:1),"('soil', 'forestry')",kilogram
"('ecoinvent-3.12-biosphere', '1bdbd331-27d9-5ab9-8e41-feec854fee0c')",MCPA-thioethyl,"('soil',)",kilogram
"('ecoinvent-3.12-biosphere', '3c2d03ee-5d0a-4866-b0de-5d4bd1823b1a')",Sodium chlorate,"('water', 'ground-, long-term')",kilogram
"('ecoinvent-3.12-biosphere', '60086d3e-fd5a-5468-8ddf-fa64c27d9e5e')",Griseofulvin,"('soil',)",kilogram
"('ecoinvent-3.12-biosphere', '80325322-b088-42a1-887e-613aa8de111b')",Trimethylamine,"('water', 'ground-')",kilogram
"('ecoinvent-3.12-biosphere', 'e3d35475-3f5c-5099-9506-8cc81a188fb1')","2,4-di-tert-butylphenol","('water',)",kilogram
"('ecoinvent-3.12-biosphere', '96f53d36-c5db-5140-ae5a-546e23b971df')",Fluazifop-P,"('water', 'surface water')",kilogram
"('ecoinvent-3.12-biosphere', '26669a6a-f3e2-57a3-bf9f-7f248135bae6')",Benoxacor,"('air',)",kilogram
"('ecoinvent-3.12-biosphere', 'd627e8fd-3663-4aa6-b9de-e926003700dd')",Ethylene diamine,"('water', 'ocean')",kilogram
