0,1,2,3
"('ecoinvent-3.4-biosphere', 'f012d2d5-ebb4-4531-8285-0b98af3dcbd4')","BOD5, Biological Oxygen Demand","('water', 'ocean')",kilogram
"('ecoinvent-3.4-biosphere', 'b001715e-60e4-4f1d-949d-1acfab65bd8f')","Particulates, > 10 um","('air', 'low population density, long-term')",kilogram
"('ecoinvent-3.4-biosphere', '6d9e9a11-4d99-4489-a0ab-4cd1b6b8eaef')",Xylene,"('water', 'ocean')",kilogram
"('ecoinvent-3.4-biosphere', '240ca121-d614-45f7-98fb-e6891559a4d0')","Chlorinated solvents, unspecified","('air', 'non-urban air or from high stacks')",kilogram
"('ecoinvent-3.4-biosphere', '03a1f7e6-f18b-4d49-b40b-5f52d1d9fb5c')","Insecticides, unspecified","('water', 'surface water')",kilogram
"('ecoinvent-3.4-biosphere', '0e6cf9f9-44ff-4395-ad3b-36109a32e6eb')",Xylene,"('water', 'ground-')",kilogram
"('ecoinvent-3.4-biosphere', '423112a9-b4c4-4041-8854-57bffde7b9cc')",Thiophanat-methyl,"('soil', 'agricultural')",kilogram
"('ecoinvent-3.4-biosphere', '19b55ff9-4964-45d1-95b6-e24d7f4ffbd3')","Hydrocarbons, aliphatic, unsaturated","('water', 'surface water')",kilogram
"('ecoinvent-3.4-biosphere', '5c9ec415-12f1-4390-bcff-3ff0fcd7ba73')","Hydrocarbons, aliphatic, alkanes, cyclic","('air',)",kilogram
"('ecoinvent-3.4-biosphere', 'aedea697-930a-4a0e-9e4f-b9c369aa9a33')","BOD5, Biological Oxygen Demand","('water', 'ground-, long-term')",kilogram
"('ecoinvent-3.4-biosphere', 'e22e8f39-d8f2-4702-bed3-0b95babb7788')","Particulates, > 10 um","('air', 'lower stratosphere + upper troposphere')",kilogram
"('ecoinvent-3.4-biosphere', '082903e4-45d8-4078-94cb-736b15279277')","Dioxins, measured as 2,3,7,8-tetrachlorodibenzo-p-dioxin","('air',)",kilogram
"('ecoinvent-3.4-biosphere', '456b8003-1508-4000-a53c-752e02023445')",Polychlorinated biphenyls,"('air', 'urban air close to ground')",kilogram
"('ecoinvent-3.4-biosphere', 'f681eb3c-854a-4f78-bcfe-76dfbcf9df3c')","2,4-D","('soil', 'agricultural')",kilogram
"('ecoinvent-3.4-biosphere', 'ed8da356-ed40-4a35-8de4-57aee1d3c279')",Xylene,"('air', 'urban air close to ground')",kilogram
"('ecoinvent-3.4-biosphere', '6da0e891-3648-43a5-b0cf-f1872c57db8d')","Oils, unspecified","('water',)",kilogram
"('ecoinvent-3.4-biosphere', '73b225ab-ddc4-4a38-9ed0-ceedee987424')","TOC, Total Organic Carbon","('water', 'ground-')",kilogram
"('ecoinvent-3.4-biosphere', '82c27b2a-69a8-4b1e-ad4e-4de9475630c6')","Oils, unspecified","('water', 'surface water')",kilogram
