flow_key,name,categories,unit,cleaned_name,molecular_formula,molecular_weight,parts,composition,fraction,grade_source
"('ecoinvent-3.4-biosphere', '412022a7-3c01-4e3c-92c8-d710927ed17a')",Anthranilic acid,"('air', 'low population density, long-term')",kilogram,Anthranilic acid,C7H7NO2,137.14,"[['C', 7], ['H', 7], ['N', 1], ['O', 2]]","{'C': 0.6130742307131399, 'H': 0.051451071897331196, 'N': 0.10213650284380925, 'O': 0.23332361090856063}",1.0,dissipation
"('ecoinvent-3.4-biosphere', '3b25024e-0347-411b-9315-c85f74e3b3ed')",Propylamine,"('air',)",kilogram,Propylamine,C3H9N,59.11,"[['C', 3], ['H', 9], ['N', 1]]","{'C': 0.6095922855692777, 'H': 0.15347656910844187, 'N': 0.23696498054474707}",1.0,dissipation
"('ecoinvent-3.4-biosphere', '585da516-b59a-43b4-83c1-6ccf4d28c83b')",Furan,"('air', 'urban air close to ground')",kilogram,Furan,C4H4O,68.07,"[['C', 4], ['H', 4], ['O', 1]]","{'C': 0.7058028500073454, 'H': 0.05923314235345968, 'O': 0.2350374614367563}",1.0,dissipation
"('ecoinvent-3.4-biosphere', '19b0229f-7cda-4154-baee-c1b1efef532a')",Fluoboric acid,"('water',)",kilogram,Fluoboric acid,BF4H,87.82,"[['B', 1], ['F', 4], ['H', 1]]","{'B': 0.123092689592348, 'F': 0.8653154179002507, 'H': 0.011478023229332727}",1.0,dissipation
"('ecoinvent-3.4-biosphere', '365dffb2-9e7a-44fa-a512-8c851fc7094c')",t-Butylamine,"('water',)",kilogram,t-Butylamine,C4H11N,73.14,"[['C', 4], ['H', 11], ['N', 1]]","{'C': 0.6568772217664752, 'H': 0.15159967186218212, 'N': 0.19150943396226414}",1.0,dissipation
"('ecoinvent-3.4-biosphere', 'd8f9ccf6-fd32-4348-83c0-1cee724af9ae')","Copper, ion","('water', 'ocean')",kilogram,Copper,Cu,63.55,"[['Cu', 1]]",{'Cu': 1.0},1.0,dissipation
"('ecoinvent-3.4-biosphere', '37d7d60d-3682-4da4-aa64-99c51b5d524b')",Trimethylamine,"('air', 'urban air close to ground')",kilogram,Trimethylamine,C3H9N,59.11,"[['C', 3], ['H', 9], ['N', 1]]","{'C': 0.6095922855692777, 'H': 0.15347656910844187, 'N': 0.23696498054474707}",1.0,dissipation
"('ecoinvent-3.4-biosphere', '591de726-f2c7-43ba-8e22-15fd08acc8dc')",Chromium,"('soil', 'forestry')",kilogram,Chromium,Cr,51.996,"[['Cr', 1]]",{'Cr': 1.0},1.0,dissipation
"('ecoinvent-3.4-biosphere', '8ab803d5-39b7-4fcc-9018-896720031143')","VOC, volatile organic compounds, unspecified origin","('water', 'ground-')",kilogram,VOC,C16H16N4O2,296.32,"[['C', 16], ['H', 16], ['N', 4], ['O', 2]]","{'C': 0.6485421166306695, 'H': 0.054427645788336934, 'N': 0.189079373650108, 'O': 0.10798461123110152}",1.0,dissipation
"('ecoinvent-3.4-biosphere', '140821a2-66bf-5600-9934-889cbf313c1e')",Phosphorus oxychloride,"('water',)",kilogram,Phosphorus oxychloride,Cl3OP,153.33,"[['Cl', 3], ['O', 1], ['P', 1]]","{'Cl': 0.6936607317550382, 'O': 0.10434357268636274, 'P': 0.20200873932042}",1.0,dissipation
"('ecoinvent-3.4-biosphere', '50fb73f7-935a-4cf8-81a0-ff3ca0ea35f9')",Phenmedipham,"('soil', 'agricultural')",kilogram,Phenmedipham,C16H16N2O4,300.31,"[['C', 16], ['H', 16], ['N', 2], ['O', 4]]","{'C': 0.6399254104092438, 'H': 0.05370450534447738, 'N': 0.09328360693949585, 'O': 0.2130997968765609}",1.0,dissipation
"('ecoinvent-3.4-biosphere', '58a3086e-3ded-4751-a313-05608f725081')",Boron,"('soil', 'industrial')",kilogram,Boron,B,10.81,"[['B', 1]]",{'B': 1.0},1.0,dissipation
"('ecoinvent-3.4-biosphere', '79b3f708-dd3f-4ccb-9121-a4cdd46e0dc4')",o-Dichlorobenzene,"('water', 'surface water')",kilogram,o-Dichlorobenzene,C6H4Cl2,147.0,"[['C', 6], ['H', 4], ['Cl', 2]]","{'C': 0.4902448979591837, 'H': 0.027428571428571427, 'Cl': 0.48235374149659865}",1.0,dissipation
"('ecoinvent-3.4-biosphere', '29bb09a9-cfef-419e-8322-88e2f6bc0558')",Bentazone,"('air', 'non-urban air or from high stacks')",kilogram,Bentazone,C10H12N2O3S,240.28,"[['C', 10], ['H', 12], ['N', 2], ['O', 3], ['S', 1]]","{'C': 0.49987514566339264, 'H': 0.05034126852005993, 'N': 0.11658897952388879, 'O': 0.19975445313800566, 'S': 0.13344847677709337}",1.0,dissipation
"('ecoinvent-3.4-biosphere', 'db0bac33-49e5-4888-89bd-15f4bfe11e51')",Bifenox,"('soil', 'agricultural')",kilogram,Bifenox,C14H9Cl2NO5,342.1,"[['C', 14], ['H', 9], ['Cl', 2], ['N', 1], ['O', 5]]","{'C': 0.49153463899444605, 'H': 0.026518561824028057, 'Cl': 0.20726688102893892, 'N': 0.040944168371821105, 'O': 0.23383513592516808}",1.0,dissipation
"('ecoinvent-3.4-biosphere', 'b11d2f9f-1fee-49ca-aef6-de238b8f98c9')",Foramsulfuron,"('soil', 'agricultural')",kilogram,Foramsulfuron,C17H20N6O7S,452.4,"[['C', 17], ['H', 20], ['N', 6], ['O', 7], ['S', 1]]","{'C': 0.451341732979664, 'H': 0.04456233421750663, 'N': 0.18576923076923077, 'O': 0.247553050397878, 'S': 0.07087754199823165}",1.0,dissipation
"('ecoinvent-3.4-biosphere', '60340c7f-e9ce-474f-ac08-a6d4d9f864fc')",Monochloroethane,"('water',)",kilogram,Monochloroethane,C2H5Cl,64.51,"[['C', 2], ['H', 5], ['Cl', 1]]","{'C': 0.37237637575569676, 'H': 0.07812742210509997, 'Cl': 0.5495737095024027}",1.0,dissipation
"('ecoinvent-3.4-biosphere', '5457df7d-0461-407c-9f09-0338dbff77ef')",Beryllium,"('air', 'low population density, long-term')",kilogram,Beryllium,Be,9.012183,"[['Be', 1]]",{'Be': 1.0},1.0,dissipation
"('ecoinvent-3.4-biosphere', '52317c31-7bdc-47de-9c23-ecf55127de75')",Uranium,"('air', 'urban air close to ground')",kilogram,Uranium,U,238.0289,"[['U', 1]]",{'U': 1.0},1.0,dissipation
"('ecoinvent-3.4-biosphere', '33fd8342-58e7-45c9-ad92-0951c002c403')","Iron, ion","('water', 'ground-')",kilogram,Iron,Fe,55.84,"[['Fe', 1]]",{'Fe': 1.0},1.0,dissipation
"('ecoinvent-3.4-biosphere', '7198aaf8-0acc-428d-8da0-558911e24f95')",Butyl acetate,"('water',)",kilogram,Butyl acetate,C6H12O2,116.16,"[['C', 6], ['H', 12], ['O', 2]]","{'C': 0.6204028925619836, 'H': 0.10413223140495868, 'O': 0.27546487603305786}",1.0,dissipation
